"age","simulation","node_cs","node_mcc","node_hipstr","cs_prob","mcc_prob","hipstr_prob"
8,17,52,58,58,0.93,0.93,0.945
9,17,52,52,58,0.775,0.18,0.767
1,18,52,58,58,1,1,0.998
10,18,52,58,58,0.86,0.205,0.201
11,18,52,52,58,0.53,0.185,0.18
12,18,52,52,56,0.62,0.005,0.009
13,18,67,52,52,0.7,0.005,0.052
14,18,69,78,57,0.57,0.005,0
15,18,52,52,61,0.545,NA,0.001
16,18,52,52,52,0.905,0.005,0
17,18,66,52,56,0.525,0.005,0
2,18,52,58,58,1,1,0.999
3,18,52,58,58,1,1,0.995
4,18,52,58,58,1,1,0.998
5,18,52,58,58,1,1,0.999
6,18,52,58,58,0.995,0.995,0.994
7,18,52,58,58,0.97,0.97,0.97
8,18,70,52,58,0.605,0.13,0.355
9,18,52,52,52,0.51,NA,0.493
1,19,52,58,58,1,1,0.999
10,19,60,88,57,0.815,0.04,0.054
11,19,52,52,60,0.615,0.175,0.171
12,19,52,52,59,0.53,0.15,0.092
13,19,52,87,58,0.53,0.045,0.172
14,19,69,83,58,0.98,0.005,0.041
15,19,52,61,62,0.535,0.005,0.006
16,19,52,52,55,0.54,0.005,0.004
17,19,59,52,52,1,0.005,0
2,19,52,58,58,1,1,0.999
3,19,52,58,58,1,1,1
4,19,52,58,58,1,1,0.998
5,19,52,58,58,1,1,1
6,19,52,58,58,0.915,0.915,0.94
7,19,52,58,58,0.995,0.995,0.994
8,19,52,58,58,0.795,0.795,0.795
9,19,52,60,58,0.83,0.83,0.519
1,2,52,52,58,1,1,0.997
10,2,52,59,60,0.61,0.175,0.134
11,2,65,58,58,0.585,0.455,0.483
12,2,74,52,54,0.62,0.11,0.044
13,2,62,52,54,0.505,NA,0.022
14,2,52,52,58,0.665,0.005,0.037
15,2,69,52,52,0.535,0.005,0
16,2,52,52,58,0.585,0.005,0.001
17,2,66,52,59,0.52,0.005,0
2,2,52,52,58,1,1,0.999
3,2,52,58,58,1,1,1
4,2,52,52,58,0.58,0.58,0.556
5,2,52,58,58,0.985,0.985,0.977
6,2,52,58,58,0.815,0.815,0.803
7,2,52,52,58,0.64,0.64,0.649
8,2,52,58,58,0.955,0.955,0.959
9,2,52,58,58,0.97,0.97,0.975
1,20,52,58,58,1,1,0.999
10,20,52,62,58,0.505,0.24,0.488
11,20,74,53,60,0.635,0.115,0.088
12,20,76,52,58,0.53,0.115,0.126
13,20,69,62,52,0.545,0.005,0.028
14,20,52,80,56,0.67,0.005,0.075
15,20,69,90,55,0.76,0.005,0
16,20,52,52,62,0.525,0.005,0
17,20,66,52,58,0.53,0.005,0
2,20,52,58,58,1,1,0.998
3,20,52,58,58,1,1,0.997
4,20,52,58,58,0.97,0.97,0.993
5,20,52,52,53,0.535,0.41,0.398
6,20,52,58,58,0.925,0.925,0.958
7,20,52,60,60,0.97,0.97,0.968
8,20,52,58,58,0.975,0.975,0.971
9,20,52,58,58,0.705,0.705,0.7
1,21,52,58,58,1,1,1
10,21,52,52,58,0.82,0.82,0.82
11,21,69,52,60,0.625,0.015,0.212
12,21,72,57,56,0.57,0.005,0.029
13,21,52,90,58,0.955,0.015,0.055
14,21,73,52,60,0.65,0.005,0.056
15,21,52,52,61,0.87,0.005,0.001
16,21,52,52,58,0.58,0.01,0.016
17,21,58,52,75,0.58,0.005,0
2,21,52,58,58,1,1,0.998
3,21,52,58,58,1,1,1
4,21,52,58,58,0.935,0.935,0.915
5,21,52,58,58,1,1,1
6,21,52,58,58,1,1,0.993
7,21,52,58,58,0.995,0.995,0.991
8,21,52,52,58,0.875,0.875,0.862
9,21,52,58,58,0.825,0.825,0.793
1,22,52,52,58,1,1,0.997
10,22,52,52,58,0.665,0.085,0.257
11,22,52,58,58,0.865,0.865,0.897
12,22,69,54,53,0.53,0.015,0.073
13,22,52,52,55,0.515,0.005,0.027
14,22,52,52,58,0.895,0.005,0.046
15,22,68,52,74,0.525,0.005,0
16,22,67,52,59,0.755,0.005,0
17,22,67,82,55,0.52,0.005,0
2,22,52,58,58,0.995,0.995,0.998
3,22,52,52,58,0.86,0.86,0.88
4,22,52,52,58,0.915,0.915,0.923
5,22,52,52,52,0.98,0.445,0.483
6,22,52,58,58,0.945,0.945,0.942
7,22,52,58,58,0.9,0.9,0.923
8,22,52,60,58,0.505,0.405,0.529
9,22,52,52,58,0.73,0.73,0.726
1,23,52,52,58,1,1,0.998
10,23,69,52,53,0.535,0.065,0.321
11,23,52,58,58,0.755,0.01,0.019
12,23,66,52,58,0.545,NA,0.152
13,23,71,52,55,0.675,0.01,0.004
14,23,72,73,53,0.885,0.005,0.013
15,23,69,52,65,0.68,0.005,0
16,23,59,75,54,1,0.005,0.001
17,23,52,52,69,0.79,0.005,0
2,23,52,58,58,1,1,0.999
3,23,52,58,58,1,1,1
4,23,52,58,58,1,1,0.996
5,23,52,52,58,0.74,0.74,0.695
6,23,87,52,52,0.505,0.505,0.484
7,23,52,52,58,0.53,0.14,0.558
8,23,52,58,58,1,1,0.994
9,23,52,52,58,0.51,0.03,0.228
1,24,52,58,58,1,1,0.998
10,24,52,61,61,0.595,0.595,0.577
11,24,73,57,57,0.775,0.165,0.15
12,24,68,52,58,0.645,0.005,0.105
13,24,74,52,58,0.63,0.01,0.064
14,24,68,59,53,0.65,0.03,0.025
15,24,68,52,61,0.505,0.005,0
16,24,52,52,52,0.525,0.005,0.004
17,24,52,52,53,1,0.005,0
2,24,52,52,58,0.995,0.995,0.983
3,24,52,52,58,0.95,0.95,0.951
4,24,52,58,58,0.835,0.835,0.82
5,24,52,58,58,0.975,0.975,0.976
6,24,52,52,58,0.59,0.59,0.611
7,24,52,58,58,0.87,0.87,0.863
8,24,52,58,58,0.81,0.81,0.848
9,24,52,59,58,0.58,0.4,0.606
1,25,52,52,58,1,1,0.998
10,25,52,58,58,0.62,0.62,0.624
11,25,73,53,53,0.67,0.015,0.04
12,25,71,52,61,0.71,0.02,0.044
13,25,69,59,52,0.6,0.005,0.02
14,25,68,52,57,0.67,0.005,0.003
15,25,69,52,53,0.805,0.005,0.001
16,25,52,52,57,1,0.005,0
17,25,57,52,58,0.835,0.005,0.013
2,25,52,58,58,1,1,0.998
3,25,52,52,58,0.995,0.995,0.99
4,25,52,58,58,1,1,1
5,25,52,52,58,0.705,0.705,0.665
6,25,52,52,58,0.73,0.73,0.792
7,25,52,52,58,0.845,0.275,0.282
8,25,52,58,58,0.865,0.865,0.883
9,25,65,62,53,0.535,0.33,0.138
1,26,52,58,58,1,1,0.999
10,26,65,52,52,0.65,NA,0.085
11,26,52,52,52,0.575,0.025,0.025
12,26,68,63,61,0.53,0.005,0.004
13,26,67,52,60,0.89,NA,0.011
14,26,68,88,56,0.565,0.005,0
15,26,67,52,53,0.69,0.005,0
16,26,67,52,60,0.675,0.005,0
17,26,65,52,52,0.775,0.005,0.003
2,26,52,58,58,1,1,0.999
3,26,52,58,58,1,1,1
4,26,52,58,58,1,1,1
5,26,52,58,58,0.955,0.955,0.975
6,26,52,58,58,0.99,0.99,0.994
7,26,52,58,58,1,1,0.997
8,26,71,52,58,0.715,0.125,0.39
9,26,52,52,58,0.98,0.98,0.982
1,27,52,58,58,1,1,0.995
10,27,52,52,60,0.71,NA,0.247
11,27,63,53,53,0.52,0.095,0.101
12,27,70,52,59,0.655,0.025,0.082
13,27,67,52,53,0.785,0.01,0.033
14,27,52,52,60,0.655,0.005,0.004
15,27,70,52,56,0.515,0.005,0
16,27,58,52,60,0.585,0.005,0
17,27,69,52,59,0.575,0.005,0.002
2,27,52,52,58,0.955,0.955,0.966
3,27,52,52,58,0.89,0.89,0.894
4,27,52,58,58,0.975,0.975,0.984
5,27,52,52,58,0.63,0.63,0.618
6,27,52,52,58,0.895,0.895,0.881
7,27,52,58,58,0.96,0.96,0.924
8,27,52,52,53,0.53,0.4,0.435
9,27,52,52,53,0.525,0.165,0.521
1,28,52,52,58,0.615,0.615,0.677
10,28,52,52,60,0.835,0.1,0.112
11,28,52,52,54,0.645,0.005,0.169
12,28,52,86,52,0.525,0.005,0.054
13,28,70,53,52,0.52,0.02,0.03
14,28,52,59,60,0.855,0.005,0.002
15,28,52,52,60,0.79,0.005,0
16,28,52,52,52,0.965,0.005,0
17,28,52,52,56,0.86,0.005,0.004
2,28,52,52,58,0.72,0.72,0.735
3,28,52,52,52,1,0.495,0.473
4,28,52,52,58,0.87,0.87,0.83
5,28,52,58,58,0.805,0.805,0.779
6,28,52,58,58,0.985,0.985,0.993
7,28,52,58,58,0.99,0.99,0.983
8,28,52,52,58,0.875,0.875,0.878
9,28,52,58,58,0.63,0.63,0.567
1,29,52,52,58,1,1,0.997
10,29,52,58,58,0.785,0.785,0.793
11,29,73,59,58,0.645,0.1,0.204
12,29,74,52,58,0.77,0.025,0.134
13,29,62,52,66,0.815,0.005,0.001
14,29,52,52,59,0.545,NA,0
15,29,73,52,58,0.75,0.005,0
16,29,30,67,69,NA,0.005,0
17,29,58,52,52,0.835,0.005,0
2,29,52,52,58,1,1,0.999
3,29,52,52,58,0.985,0.985,0.99
4,29,52,52,58,0.995,0.995,0.986
5,29,52,92,58,0.555,0.415,0.595
6,29,52,58,58,0.945,0.945,0.944
7,29,52,58,58,0.955,0.955,0.924
8,29,52,58,58,0.88,0.88,0.886
9,29,52,60,60,0.645,0.645,0.626
1,3,52,52,58,1,1,0.998
10,3,78,61,58,0.525,0.05,0.238
11,3,76,52,60,0.54,0.08,0.363
12,3,65,52,58,0.71,0.025,0.251
13,3,72,52,60,0.9,0.005,0.011
14,3,68,52,63,0.95,0.005,0.002
15,3,74,52,59,0.59,0.005,0.001
16,3,68,52,57,0.91,0.005,0.002
17,3,68,52,58,0.615,0.005,0.011
2,3,52,58,58,1,1,0.999
3,3,52,58,58,1,1,1
4,3,52,58,58,1,1,1
5,3,52,52,58,0.995,0.995,0.992
6,3,52,58,58,0.985,0.985,0.985
7,3,52,58,58,0.99,0.99,0.985
8,3,52,52,58,0.825,0.825,0.828
9,3,52,58,58,0.995,0.995,0.978
1,30,52,58,58,1,1,0.999
10,30,52,58,58,0.95,0.95,0.949
11,30,52,52,58,0.685,0.685,0.672
12,30,70,52,60,0.64,0.005,0.103
13,30,72,52,58,0.585,0.055,0.107
14,30,71,52,52,0.505,0.005,0.03
15,30,66,52,52,0.6,0.005,0.005
16,30,66,52,55,0.915,0.005,0
17,30,52,52,73,0.63,0.005,0
2,30,52,58,58,1,1,1
3,30,52,58,58,0.985,0.985,0.977
4,30,52,58,58,1,1,1
5,30,52,58,58,1,1,1
6,30,52,58,58,1,1,1
7,30,52,58,58,0.96,0.96,0.946
8,30,52,58,58,0.98,0.98,0.975
9,30,52,52,58,0.755,0.755,0.746
1,31,52,58,58,0.995,0.995,0.997
10,31,65,78,58,0.51,0.005,0.317
11,31,52,52,58,0.51,0.155,0.547
12,31,70,52,57,0.51,NA,0.025
13,31,74,52,52,0.505,NA,0.03
14,31,71,52,58,0.565,0.005,0.021
15,31,67,52,75,0.73,NA,0
16,31,57,52,62,0.91,0.005,0
17,31,56,52,68,0.92,0.005,0
2,31,52,58,58,1,1,0.998
3,31,52,52,58,0.995,0.995,0.995
4,31,81,52,52,0.85,0.85,0.853
5,31,52,58,58,0.995,0.995,0.989
6,31,52,58,58,1,1,0.999
7,31,52,52,60,0.6,0.245,0.498
8,31,79,60,52,0.645,0.915,0.625
9,31,52,52,58,0.57,0.125,0.226
1,32,52,58,58,1,1,0.999
10,32,52,58,58,0.695,0.695,0.749
11,32,52,52,60,0.52,0.115,0.051
12,32,71,52,52,0.545,0.04,0.027
13,32,73,52,52,0.535,0.005,0.045
14,32,71,52,59,0.55,0.005,0.006
15,32,75,52,60,0.59,NA,0
16,32,52,52,58,0.625,0.01,0.028
17,32,68,52,58,0.53,0.005,0
2,32,52,58,58,1,1,0.999
3,32,52,58,58,1,1,1
4,32,52,58,58,1,1,1
5,32,52,58,58,1,1,1
6,32,52,58,58,1,1,0.996
7,32,52,58,58,1,1,0.997
8,32,52,58,58,1,1,0.995
9,32,52,52,52,0.58,0.17,0.156
1,33,52,52,58,0.935,0.935,0.893
10,33,52,52,53,0.74,0.74,0.749
11,33,52,52,58,0.625,0.38,0.386
12,33,52,52,60,0.56,0.145,0.129
13,33,75,52,58,0.635,0.005,0.083
14,33,70,52,60,0.535,0.005,0.005
15,33,68,83,54,0.52,0.005,0.005
16,33,67,52,58,0.54,0.005,0.031
17,33,61,52,72,1,0.005,0
2,33,52,58,58,0.995,0.995,0.989
3,33,52,52,58,0.725,0.725,0.776
4,33,52,58,58,0.985,0.985,0.976
5,33,52,58,58,0.96,0.96,0.937
6,33,52,52,58,0.92,0.92,0.912
7,33,52,60,60,0.87,0.87,0.897
8,33,78,60,60,0.575,0.73,0.728
9,33,52,54,54,0.7,0.7,0.618
1,34,52,58,58,1,1,1
10,34,65,59,58,0.73,0.34,0.315
11,34,72,52,53,0.515,0.025,0.111
12,34,65,52,59,0.72,NA,0.018
13,34,72,53,58,0.755,0.015,0.048
14,34,52,52,58,0.57,0.005,0.025
15,34,69,52,52,0.89,0.005,0
16,34,52,73,66,0.6,0.005,0
17,34,52,63,65,0.925,0.005,0
2,34,52,58,58,1,1,1
3,34,52,58,58,1,1,1
4,34,52,58,58,0.995,0.995,0.996
5,34,52,58,58,1,1,1
6,34,52,58,58,0.975,0.975,0.952
7,34,52,58,58,0.995,0.995,0.994
8,34,52,58,58,0.865,0.865,0.808
9,34,52,58,58,0.905,0.905,0.918
1,35,52,52,58,1,1,0.999
10,35,52,54,59,0.795,0.04,0.145
11,35,75,58,52,0.6,0.035,0.176
12,35,52,52,62,0.985,0.005,0.024
13,35,71,60,58,0.615,0.005,0.046
14,35,52,52,58,0.56,0.005,0.018
15,35,68,52,53,0.56,NA,0.009
16,35,57,86,52,0.95,0.005,0.004
17,35,52,52,53,0.81,0.005,0.001
2,35,52,52,58,0.96,0.96,0.975
3,35,52,58,58,1,1,1
4,35,52,52,58,1,1,0.986
5,35,52,58,58,0.95,0.95,0.947
6,35,52,58,58,0.97,0.97,0.959
7,35,52,58,58,0.915,0.915,0.907
8,35,52,58,58,0.945,0.945,0.912
9,35,78,52,52,0.655,0.655,0.646
1,36,89,52,52,0.755,0.755,0.753
10,36,52,53,53,0.575,0.13,0.131
11,36,52,52,53,0.545,0.025,0.026
12,36,52,59,59,0.635,0.075,0.08
13,36,70,52,52,0.69,0.005,0.033
14,36,52,64,70,0.735,0.01,0
15,36,71,52,67,0.515,0.005,0
16,36,34,52,59,NA,0.005,0
17,36,58,67,70,0.925,0.005,0
2,36,52,52,52,1,0.495,0.523
3,36,87,52,52,0.74,0.74,0.723
4,36,52,58,58,0.515,0.515,0.504
5,36,52,52,60,0.675,0.675,0.651
6,36,52,58,58,0.595,0.595,0.624
7,36,73,88,60,0.505,0.115,0.189
8,36,70,60,60,0.645,0.47,0.5
9,36,52,61,60,0.6,0.21,0.596
1,37,52,52,58,1,1,0.997
10,37,70,52,53,0.65,0.02,0.063
11,37,52,52,58,0.765,0.375,0.315
12,37,52,52,57,0.99,0.02,0.13
13,37,69,52,58,0.605,0.005,0.021
14,37,68,52,53,0.62,0.005,0.007
15,37,72,83,66,0.595,0.005,0.001
16,37,68,52,56,0.55,0.005,0
17,37,52,52,60,0.92,0.005,0
2,37,52,52,58,0.975,0.975,0.956
3,37,52,52,58,0.99,0.99,0.988
4,37,52,58,58,0.99,0.99,0.982
5,37,52,52,58,0.945,0.945,0.971
6,37,52,58,58,0.995,0.995,0.996
7,37,52,58,58,0.99,0.99,0.976
8,37,52,52,58,0.615,0.615,0.6
9,37,80,58,58,0.585,0.485,0.511
1,38,52,52,58,1,1,0.994
10,38,52,52,65,0.61,0.03,0.027
11,38,67,52,58,0.915,NA,0.059
12,38,66,52,53,0.65,0.01,0.03
13,38,68,59,56,0.625,0.005,0.03
14,38,69,64,64,0.625,0.005,0
15,38,69,52,52,0.675,NA,0
16,38,52,52,52,1,0.005,0.002
17,38,65,52,52,0.555,0.005,0
2,38,52,52,58,0.915,0.915,0.9
3,38,52,58,58,1,1,0.998
4,38,52,52,58,0.66,0.115,0.616
5,38,52,58,58,0.995,0.995,0.996
6,38,81,52,61,0.6,0.6,0.858
7,38,52,52,58,0.61,0.61,0.607
8,38,80,52,58,0.51,0.235,0.199
9,38,52,52,61,0.595,0.02,0.046
1,39,52,58,58,1,1,0.999
10,39,67,52,58,0.77,NA,0.271
11,39,72,53,53,0.54,0.16,0.131
12,39,52,57,60,0.685,0.005,0.046
13,39,73,52,55,0.51,0.005,0.012
14,39,68,52,58,0.58,0.015,0.012
15,39,70,52,52,0.585,0.005,0.008
16,39,52,88,61,0.575,0.005,0
17,39,59,52,72,1,0.005,0
2,39,52,58,58,1,1,0.999
3,39,52,58,58,1,1,1
4,39,52,58,58,1,1,1
5,39,52,58,58,1,1,0.997
6,39,52,58,58,0.995,0.995,0.996
7,39,52,58,58,0.99,0.99,0.96
8,39,52,58,58,0.745,0.745,0.729
9,39,75,52,58,0.59,0.055,0.456
1,4,52,58,58,1,1,0.999
10,4,64,52,58,0.99,0.07,0.244
11,4,64,98,58,0.58,0.035,0.108
12,4,72,52,55,0.65,0.015,0.028
13,4,71,52,54,0.52,0.01,0.012
14,4,67,52,68,0.89,NA,0
15,4,69,54,58,0.92,0.005,0.012
16,4,68,54,64,0.505,0.02,0
17,4,56,52,56,1,0.005,0
2,4,52,58,58,1,1,1
3,4,52,58,58,1,1,0.998
4,4,52,58,58,1,1,1
5,4,52,52,58,0.995,0.995,0.99
6,4,52,58,58,0.905,0.905,0.916
7,4,52,58,58,0.94,0.94,0.952
8,4,52,52,52,0.66,0.38,0.365
9,4,70,52,53,0.96,0.25,0.239
1,40,52,58,58,1,1,0.997
10,40,52,52,52,0.51,0.005,0.073
11,40,70,52,53,0.58,0.09,0.12
12,40,69,52,58,0.805,0.005,0.09
13,40,69,52,58,0.62,0.07,0.073
14,40,52,52,52,0.56,0.005,0.003
15,40,52,74,52,0.945,0.005,0
16,40,52,53,55,0.55,0.005,0
17,40,34,52,54,NA,0.005,0
2,40,52,58,58,1,1,0.998
3,40,52,58,58,1,1,1
4,40,87,60,52,0.925,1,0.851
5,40,52,58,58,0.97,0.97,0.973
6,40,52,58,58,0.61,0.61,0.652
7,40,52,52,58,0.84,0.84,0.837
8,40,52,58,58,0.745,0.745,0.769
9,40,52,60,58,0.65,0.135,0.634
1,41,52,52,58,1,1,0.999
10,41,52,58,58,0.745,0.745,0.73
11,41,65,52,52,0.545,NA,0.186
12,41,71,59,59,0.515,0.28,0.271
13,41,70,52,58,0.71,0.01,0.109
14,41,67,52,60,0.69,0.005,0.086
15,41,68,52,58,0.915,0.005,0.013
16,41,69,52,59,0.58,0.005,0.001
17,41,52,52,55,0.635,0.005,0
2,41,52,52,58,1,1,0.999
3,41,52,58,58,1,1,0.994
4,41,52,52,58,1,0.42,0.462
5,41,52,52,58,0.99,0.99,0.995
6,41,52,58,58,0.94,0.94,0.945
7,41,52,58,58,0.87,0.87,0.899
8,41,52,58,58,0.71,0.71,0.686
9,41,52,58,58,0.505,0.505,0.496
1,42,52,52,58,0.51,0.51,0.528
10,42,52,60,60,0.515,0.025,0.111
11,42,66,52,58,0.54,0.095,0.247
12,42,69,52,60,0.68,0.005,0.012
13,42,71,71,64,0.64,0.005,0.005
14,42,67,52,58,0.56,0.005,0.028
15,42,66,52,55,0.63,0.005,0
16,42,52,52,53,0.535,0.005,0
17,42,66,52,60,0.72,0.005,0
2,42,52,52,58,0.895,0.895,0.871
3,42,52,58,58,0.92,0.92,0.91
4,42,52,60,52,0.765,0.765,0.529
5,42,52,58,58,0.66,0.66,0.709
6,42,87,52,52,0.655,0.135,0.44
7,42,52,59,58,0.505,0.52,0.515
8,42,70,52,61,0.735,0.13,0.21
9,42,52,52,58,0.605,NA,0.291
1,43,52,52,58,0.98,0.98,0.964
10,43,66,52,52,0.6,NA,0.186
11,43,72,58,58,0.78,0.405,0.4
12,43,75,52,54,0.675,0.01,0.04
13,43,68,52,58,0.565,0.005,0.174
14,43,71,52,53,0.53,0.005,0.001
15,43,69,52,66,0.97,0.005,0
16,43,57,52,67,0.97,0.005,0
17,43,67,52,74,0.545,0.005,0
2,43,52,58,58,1,1,1
3,43,52,52,58,0.745,0.745,0.737
4,43,52,52,58,0.53,0.53,0.519
5,43,52,58,58,0.895,0.895,0.891
6,43,52,52,60,1,0.95,0.992
7,43,52,52,52,0.855,NA,0.466
8,43,52,58,58,0.85,0.85,0.854
9,43,52,52,52,0.725,NA,0.329
1,44,52,52,58,0.925,0.925,0.915
10,44,63,58,58,0.7,0.195,0.195
11,44,66,52,58,0.62,0.01,0.19
12,44,56,52,58,0.59,0.005,0.038
13,44,69,52,52,0.805,0.01,0.013
14,44,67,52,56,0.65,0.01,0
15,44,58,52,59,0.82,0.005,0
16,44,66,52,55,0.67,0.005,0
17,44,58,71,52,0.6,0.005,0
2,44,52,52,58,1,1,0.998
3,44,52,52,58,0.985,0.985,0.971
4,44,52,58,58,0.99,0.99,0.999
5,44,52,58,58,0.88,0.88,0.894
6,44,52,58,58,0.88,0.88,0.889
7,44,52,52,58,0.62,0.62,0.592
8,44,52,52,58,0.93,0.93,0.926
9,44,67,52,53,0.8,NA,0.352
1,45,52,58,58,1,1,1
10,45,77,52,59,0.595,0.46,0.485
11,45,75,52,61,0.695,0.025,0.041
12,45,67,52,68,0.88,0.105,0.045
